artist,week,weekly_best_rank,weekly_number_1_appearances,weekly_top_10_appearances,reached_number_1
lady gaga,2017-11-20/2017-11-26,177,0,0,False
michael jackson,2017-11-20/2017-11-26,153,0,0,False
rihanna,2017-11-20/2017-11-26,44,0,0,False
taylor swift,2017-11-20/2017-11-26,40,0,0,False
the beatles,2017-11-20/2017-11-26,117,0,0,False
the weeknd,2017-11-20/2017-11-26,56,0,0,False
whitney houston,2017-11-20/2017-11-26,54,0,0,False
adele,2017-11-27/2017-12-03,105,0,0,False
beyonce,2017-11-27/2017-12-03,1,7,89,True
bruno mars,2017-11-27/2017-12-03,37,0,0,False
elvis presley,2017-11-27/2017-12-03,44,0,0,False
eminem,2017-11-27/2017-12-03,17,0,0,False
